complex_id,complex_name,venues
sr:complex:17945,Rotterdam Ahoy,"[{'id': 'sr:venue:1648', 'name': 'Court 1', 'city_name': 'Rotterdam', 'country_name': 'Netherlands', 'country_code': 'NLD', 'timezone': 'Europe/Brussels'}, {'id': 'sr:venue:3696', 'name': 'Court 2', 'city_name': 'Rotterdam', 'country_name': 'Netherlands', 'country_code': 'NLD', 'timezone': 'Europe/Brussels'}, {'id': 'sr:venue:22854', 'name': 'Centre Court', 'city_name': 'Rotterdam', 'country_name': 'Netherlands', 'country_code': 'NLD', 'timezone': 'Europe/Brussels'}]"
sr:complex:18201,The O2,"[{'id': 'sr:venue:66121', 'name': 'Centre Court', 'city_name': 'London', 'country_name': 'England', 'country_code': 'ENG', 'timezone': 'Europe/London'}]"
sr:complex:18221,Bluesun Tennis Center,"[{'id': 'sr:venue:18223', 'name': 'Cedevita Court', 'city_name': 'Bol', 'country_name': 'Croatia', 'country_code': 'HRV', 'timezone': 'Europe/Zagreb'}, {'id': 'sr:venue:18225', 'name': 'Cockta Court', 'city_name': 'Bol', 'country_name': 'Croatia', 'country_code': 'HRV', 'timezone': 'Europe/Zagreb'}, {'id': 'sr:venue:18227', 'name': 'Kala Court', 'city_name': 'Bol', 'country_name': 'Croatia', 'country_code': 'HRV', 'timezone': 'Europe/Zagreb'}, {'id': 'sr:venue:21412', 'name': 'INA Court', 'city_name': 'Bol', 'country_name': 'Croatia', 'country_code': 'HRV', 'timezone': 'Europe/Zagreb'}, {'id': 'sr:venue:21422', 'name': 'Raiffeisen Court', 'city_name': 'Bol', 'country_name': 'Croatia', 'country_code': 'HRV', 'timezone': 'Europe/Zagreb'}, {'id': 'sr:venue:30195', 'name': 'Lukas Court', 'city_name': 'Bol', 'country_name': 'Croatia', 'country_code': 'HRV', 'timezone': 'Europe/Zagreb'}, {'id': 'sr:venue:39715', 'name': 'Center Court', 'city_name': 'Bol', 'country_name': 'Croatia', 'country_code': 'HRV', 'timezone': 'Europe/Zagreb'}, {'id': 'sr:venue:39717', 'name': 'Court 1', 'city_name': 'Bol', 'country_name': 'Croatia', 'country_code': 'HRV', 'timezone': 'Europe/Zagreb'}]"
sr:complex:19166,Shlomo Group Arena,
sr:complex:19737,"Club Sonoma, Estadio Gnp Seguros","[{'id': 'sr:venue:1695', 'name': 'Center Court', 'city_name': 'Monterrey', 'country_name': 'Mexico', 'country_code': 'MEX', 'timezone': 'America/Mexico_City'}, {'id': 'sr:venue:1696', 'name': 'Court 1', 'city_name': 'Monterrey', 'country_name': 'Mexico', 'country_code': 'MEX', 'timezone': 'America/Mexico_City'}, {'id': 'sr:venue:62341', 'name': 'Court 4', 'city_name': 'Monterrey', 'country_name': 'Mexico', 'country_code': 'MEX', 'timezone': 'America/Mexico_City'}]"
sr:complex:19951,Accor Arena,"[{'id': 'sr:venue:1520', 'name': 'Court Central', 'city_name': 'Paris', 'country_name': 'France', 'country_code': 'FRA', 'timezone': 'Europe/Paris'}, {'id': 'sr:venue:1521', 'name': 'Court 1', 'city_name': 'Paris', 'country_name': 'France', 'country_code': 'FRA', 'timezone': 'Europe/Paris'}, {'id': 'sr:venue:1522', 'name': 'Court 2', 'city_name': 'Paris', 'country_name': 'France', 'country_code': 'FRA', 'timezone': 'Europe/Paris'}]"
sr:complex:21870,Stadium Goran Ivanisevic in ITC Stella Maris,"[{'id': 'sr:venue:21868', 'name': 'Next Gen Arena', 'city_name': 'Umag', 'country_name': 'Croatia', 'country_code': 'HRV', 'timezone': 'Europe/Zagreb'}]"
sr:complex:21910,Roy Emerson Arena,"[{'id': 'sr:venue:1938', 'name': 'Roy Emerson Arena', 'city_name': 'Gstaad', 'country_name': 'Switzerland', 'country_code': 'CHE', 'timezone': 'Europe/Zurich'}, {'id': 'sr:venue:1939', 'name': 'Court 1', 'city_name': 'Gstaad', 'country_name': 'Switzerland', 'country_code': 'CHE', 'timezone': 'Europe/Zurich'}, {'id': 'sr:venue:1953', 'name': 'Sportzentrum 1', 'city_name': 'Gstaad', 'country_name': 'Switzerland', 'country_code': 'CHE', 'timezone': 'Europe/Zurich'}, {'id': 'sr:venue:2461', 'name': 'Sportzentrum 3', 'city_name': 'Gstaad', 'country_name': 'Switzerland', 'country_code': 'CHE', 'timezone': 'Europe/Zurich'}]"
sr:complex:26983,Club de Tenis Puente Romano,"[{'id': 'sr:venue:1728', 'name': 'Centre Court', 'city_name': 'Marbella', 'country_name': 'Spain', 'country_code': 'ESP', 'timezone': 'Europe/Madrid'}, {'id': 'sr:venue:1729', 'name': 'Court 1', 'city_name': 'Marbella', 'country_name': 'Spain', 'country_code': 'ESP', 'timezone': 'Europe/Madrid'}, {'id': 'sr:venue:1730', 'name': 'Court 7', 'city_name': 'Marbella', 'country_name': 'Spain', 'country_code': 'ESP', 'timezone': 'Europe/Madrid'}, {'id': 'sr:venue:28357', 'name': 'Court 2', 'city_name': 'Marbella', 'country_name': 'Spain', 'country_code': 'ESP', 'timezone': 'Europe/Madrid'}, {'id': 'sr:venue:33908', 'name': 'Court 3', 'city_name': 'Marbella', 'country_name': 'Spain', 'country_code': 'ESP', 'timezone': 'Europe/Madrid'}, {'id': 'sr:venue:33916', 'name': 'Court 4', 'city_name': 'Marbella', 'country_name': 'Spain', 'country_code': 'ESP', 'timezone': 'Europe/Madrid'}, {'id': 'sr:venue:57732', 'name': 'Estadio Manolo Santana', 'city_name': 'Marbella', 'country_name': 'Spain', 'country_code': 'ESP', 'timezone': 'Europe/Madrid'}, {'id': 'sr:venue:62729', 'name': 'Court 8', 'city_name': 'Marbella', 'country_name': 'Spain', 'country_code': 'ESP', 'timezone': 'Europe/Madrid'}, {'id': 'sr:venue:62731', 'name': 'Court 9', 'city_name': 'Marbella', 'country_name': 'Spain', 'country_code': 'ESP', 'timezone': 'Europe/Madrid'}]"
sr:complex:26985,National Tennis Center,"[{'id': 'sr:venue:1383', 'name': 'Astana Arena', 'capacity': 30000, 'city_name': 'Astana', 'country_name': 'Kazakhstan', 'map_coordinates': '51.108244,71.402584', 'country_code': 'KAZ', 'timezone': 'Asia/Almaty'}, {'id': 'sr:venue:2595', 'name': 'Astana', 'city_name': 'Astana', 'country_name': 'Kazakhstan', 'country_code': 'KAZ', 'timezone': 'Asia/Almaty'}, {'id': 'sr:venue:14620', 'name': 'Center Court', 'city_name': 'Astana', 'country_name': 'Kazakhstan', 'country_code': 'KAZ', 'timezone': 'Asia/Almaty'}, {'id': 'sr:venue:14622', 'name': 'Court 1', 'city_name': 'Astana', 'country_name': 'Kazakhstan', 'country_code': 'KAZ', 'timezone': 'Asia/Almaty'}, {'id': 'sr:venue:14624', 'name': 'Court 2', 'city_name': 'Astana', 'country_name': 'Kazakhstan', 'country_code': 'KAZ', 'timezone': 'Asia/Almaty'}, {'id': 'sr:venue:14626', 'name': 'Court 3', 'city_name': 'Astana', 'country_name': 'Kazakhstan', 'country_code': 'KAZ', 'timezone': 'Asia/Almaty'}, {'id': 'sr:venue:14628', 'name': 'Court 6', 'city_name': 'Astana', 'country_name': 'Kazakhstan', 'country_code': 'KAZ', 'timezone': 'Asia/Almaty'}, {'id': 'sr:venue:18439', 'name': 'Court 4', 'city_name': 'Astana', 'country_name': 'Kazakhstan', 'country_code': 'KAZ', 'timezone': 'Asia/Almaty'}, {'id': 'sr:venue:31557', 'name': 'Court 9', 'city_name': 'Astana', 'country_name': 'Kazakhstan', 'country_code': 'KAZ', 'timezone': 'Asia/Almaty'}, {'id': 'sr:venue:32005', 'name': 'Indoor Center Court', 'city_name': 'Astana', 'country_name': 'Kazakhstan', 'country_code': 'KAZ', 'timezone': 'Asia/Almaty'}, {'id': 'sr:venue:43100', 'name': 'Court 5', 'city_name': 'Astana', 'country_name': 'Kazakhstan', 'country_code': 'KAZ', 'timezone': 'Asia/Almaty'}, {'id': 'sr:venue:59164', 'name': 'Indoor Court 3', 'city_name': 'Astana', 'country_name': 'Kazakhstan', 'country_code': 'KAZ', 'timezone': 'Asia/Almaty'}]"
